[31-01-2017 10-09-57] INFO: Initialized video subsystem
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 31, 82
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 0, 113
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 170, 199
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 339, 240
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 415, 274
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 409, 287
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 366, 309
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 317, 325
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 307, 330
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 326, 343
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 392, 364
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 451, 389
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 468, 407
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 464, 424
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 426, 437
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 396, 435
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 418, 403
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 535, 366
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 670, 330
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 781, 296
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 855, 271
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 878, 254
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 885, 239
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 885, 219
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 869, 190
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 848, 164
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 840, 153
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 839, 146
[31-01-2017 10-10-16] DEBUG: Mouse Moved: 892, 107
[31-01-2017 10-10-16] DEBUG: Mouse Moved: 951, 59
[31-01-2017 10-10-16] DEBUG: Mouse Moved: 1004, 29
[31-01-2017 10-10-16] DEBUG: Mouse Moved: 1023, 10
[31-01-2017 10-10-17] INFO: Exiting application
[31-01-2017 10-23-03] INFO: Initialized video subsystem
[31-01-2017 10-23-03] INFO: Initialized SDL_Image
[31-01-2017 10-23-04] INFO: Created window
[31-01-2017 10-23-04] INFO: Created renderer
